Horodateur,Je comprends mieux quelque chose après l'avoir :,Je préférerais être considéré comme :,"Lorsque je pense à ce que j'ai fait hier, j'ai le plus de chances d'avoir : ",J'ai tendance à : ,"Lorsque j'apprends quelque chose de nouveau, cela m'aide à : ","Si j'étais enseignant, je préférerais donner un cours : ",Je préfère obtenir de nouvelles informations sous forme : ,Une fois que j'ai compris : ,"Dans un groupe d'étude travaillant sur une matière difficile, je suis plus enclin à : ",Je trouve qu'il est plus facile : ,"Dans un livre contenant beaucoup d'images et de graphiques, je suis susceptible de : ",Lorsque je résous des problèmes mathématiques,Dans les cours que j'ai suivis : ,"Lorsque je lis des ouvrages non fictionnels, je préfère : ",J'aime les professeurs : ,Lorsque j'analyse une histoire ou un roman : ,"Lorsque je commence un problème de devoir, j'ai tendance à : ",Je préfère l'idée de : ,Je me souviens mieux : ,Il est plus important pour moi qu'un instructeur : ,Je préfère étudier : ,Je suis plus susceptible d'être considéré comme : ,"Lorsque j'obtiens des indications pour me rendre dans un nouvel endroit, je préfère :",J'apprends : ,Je préfère d'abord : ,"Lorsque je lis pour le plaisir, j'aime que les auteurs","Lorsque je vois un schéma ou un croquis en classe, j'ai le plus de chances de me rappeler : ","Lorsque j'étudie un ensemble d'informations, j'ai tendance à : ",Je me souviens plus facilement,"Lorsque je dois effectuer une tâche, je préfère : ","Lorsque quelqu'un me montre des données, je préfère : ","Lorsque je rédige un article, j'ai tendance à : ","Lorsque je dois travailler sur un projet de groupe, je veux d'abord : ",Je considère que c'est un grand éloge que d'appeler quelqu'un : ,"Lorsque je rencontre des gens à une fête, j'ai plus de chances de me rappeler : ","Lorsque j'apprends un nouveau sujet, je préfère : ",Je suis plus susceptible d'être considéré comme : ,Je préfère les cours qui mettent l'accent sur,"Pour me divertir, je préfère : ","Certains enseignants commencent leurs cours par un aperçu de ce qu'ils vont aborder.  Ces schémas sont :
","L'idée de faire les devoirs en groupe, avec une seule note pour l'ensemble du groupe, est une idée qui : ",Lorsque je fais de longs calculs : ,J'ai tendance à me souvenir des endroits où j'ai été : ,"Lorsque je résous des problèmes en groupe, j'ai davantage tendance à : "
26/04/2023 14:40:44,essayer,Réaliste,Une photo,Comprendre la structure générale mais peut être flou sur les détails.,en parler,qui traite de faits et de situations réelles.,"des images, des diagrammes, des graphiques ou des cartes.","L'ensemble, je vois comment les parties s'emboîtent.",participer et apporter des idées.,d'apprendre des concepts.,regarder attentivement les images et les tableaux.,J'arrive généralement à trouver les solutions étape par étape.,J'ai rarement appris à connaître beaucoup d'étudiants.,quelque chose qui m'apprend de nouveaux faits ou qui me dit comment faire quelque chose.,qui mettent beaucoup de diagrammes au tableau.,"Je sais seulement quels sont les thèmes lorsque j'ai fini de lire, puis je dois revenir en arrière et trouver les incidents qui les illustrent.",essayer d'abord de bien comprendre le problème.,certitude,"de ce que je vois., de ce que j'entends.",me donne une vue d'ensemble et relie la matière à d'autres sujets.,seul(e).,"attentif aux détails de mon travail., créatif dans la façon de faire mon travail.",une carte.,"par à-coups. Je suis totalement désorienté, puis soudain, c'est le déclic.",réfléchir à la manière dont je vais m'y prendre.,disent les choses de manière créative et intéressante.,de l'image.,essayer de comprendre la situation dans son ensemble avant d'entrer dans les détails.,de quelque chose que j'ai fait.,trouver de nouvelles façons de le faire.,les tableaux ou les graphiques.,travailler (penser à ou écrire) le début du document et progresser.,"faire un ""brainstorming de groupe"" où chacun apporte ses idées.","sensible, imaginatif",de leur apparence.,essayer d'établir des liens entre ce sujet et des sujets connexes.,réservé(e).,"le matériel concret (faits, données).",regarder la télévision.,assez utiles pour moi.,"me plaît., ne me plaît pas.","j'ai tendance à répéter toutes mes étapes et à vérifier soigneusement mon travail., je trouve fastidieux de vérifier mon travail et je dois me forcer à le faire.",facilement et assez précisément.,penser aux étapes du processus de résolution.
26/04/2023 14:40:44,y avoir réfléchi,Innovant,Des mots,Comprendre la structure générale mais peut être flou sur les détails.,en parler,qui traite de faits et de situations réelles.,"des images, des diagrammes, des graphiques ou des cartes.","L'ensemble, je vois comment les parties s'emboîtent.",m'asseoir et écouter,d'apprendre des faits.,me concentrer sur le texte écrit.,J'arrive généralement à trouver les solutions étape par étape.,J'ai généralement appris à connaître beaucoup d'étudiants.,quelque chose qui me donne de nouvelles idées pour réfléchir.,qui passent beaucoup de temps à expliquer.,"Je sais seulement quels sont les thèmes lorsque j'ai fini de lire, puis je dois revenir en arrière et trouver les incidents qui les illustrent.",commencer à travailler sur la solution immédiatement.,théorie,de ce que je vois.,me donne une vue d'ensemble et relie la matière à d'autres sujets.,dans un groupe d'étude.,créatif dans la façon de faire mon travail.,une carte.,"par à-coups. Je suis totalement désorienté, puis soudain, c'est le déclic.",essayer les choses.,disent les choses de manière créative et intéressante.,de l'image.,essayer de comprendre la situation dans son ensemble avant d'entrer dans les détails.,d'une chose à laquelle j'ai beaucoup réfléchi.,maîtriser une façon de faire.,les tableaux ou les graphiques.,travailler (réfléchir ou écrire) sur différentes parties du document et puis de les ordonner.,"faire un brainstorming individuel, puis me réunir en groupe pour comparer les idées.",imaginatif,de ce qu'ils ont dit d'eux-mêmes.,rester concentré sur ce sujet et en apprendre le plus possible.,extraverti(e).,"le matériel concret (faits, données).",regarder la télévision.,assez utiles pour moi.,me plaît.,j'ai tendance à répéter toutes mes étapes et à vérifier soigneusement mon travail.,facilement et assez précisément.,penser aux étapes du processus de résolution.
26/04/2023 14:43:07,essayer,Réaliste,Une photo,Comprendre la structure générale mais peut être flou sur les détails.,"en parler, y réfléchir",qui traite de faits et de situations réelles.,"des images, des diagrammes, des graphiques ou des cartes.","L'ensemble, je vois comment les parties s'emboîtent.",m'asseoir et écouter,d'apprendre des faits.,regarder attentivement les images et les tableaux.,"J'arrive généralement à trouver les solutions étape par étape., Je vois souvent les solutions, mais je dois ensuite m'efforcer de comprendre les étapes pour y parvenir.",J'ai rarement appris à connaître beaucoup d'étudiants.,quelque chose qui me donne de nouvelles idées pour réfléchir.,qui mettent beaucoup de diagrammes au tableau.,"Je sais seulement quels sont les thèmes lorsque j'ai fini de lire, puis je dois revenir en arrière et trouver les incidents qui les illustrent.",essayer d'abord de bien comprendre le problème.,certitude,de ce que je vois.,présente la matière en étapes séquentielles claires.,seul(e).,attentif aux détails de mon travail.,des instructions écrites.,"par à-coups. Je suis totalement désorienté, puis soudain, c'est le déclic.",essayer les choses.,disent les choses de manière créative et intéressante.,de l'image.,me concentrer sur les détails et passer à côté de la vue d'ensemble.,de quelque chose que j'ai fait.,maîtriser une façon de faire.,les tableaux ou les graphiques.,travailler (penser à ou écrire) le début du document et progresser.,"faire un ""brainstorming de groupe"" où chacun apporte ses idées.",imaginatif,de leur apparence.,rester concentré sur ce sujet et en apprendre le plus possible.,réservé(e).,"le matériel concret (faits, données).",regarder la télévision.,très utiles pour moi.,me plaît.,j'ai tendance à répéter toutes mes étapes et à vérifier soigneusement mon travail.,facilement et assez précisément.,penser aux étapes du processus de résolution.
26/04/2023 14:44:19,y avoir réfléchi,Réaliste,Une photo,Comprendre la structure générale mais peut être flou sur les détails.,y réfléchir,qui traite d'idées et de théories.,"des images, des diagrammes, des graphiques ou des cartes.","L'ensemble, je vois comment les parties s'emboîtent.",participer et apporter des idées.,d'apprendre des faits.,regarder attentivement les images et les tableaux.,J'arrive généralement à trouver les solutions étape par étape.,J'ai généralement appris à connaître beaucoup d'étudiants.,quelque chose qui me donne de nouvelles idées pour réfléchir.,qui mettent beaucoup de diagrammes au tableau.,je pense aux incidents et j'essaie de les mettre en relation pour comprendre les thèmes.,essayer d'abord de bien comprendre le problème.,certitude,de ce que j'entends.,présente la matière en étapes séquentielles claires.,dans un groupe d'étude.,créatif dans la façon de faire mon travail.,des instructions écrites.,"à un rythme assez régulier. Si j'étudie bien, j'y arriverai.",essayer les choses.,disent les choses de manière créative et intéressante.,de l'image.,me concentrer sur les détails et passer à côté de la vue d'ensemble.,de quelque chose que j'ai fait.,maîtriser une façon de faire.,les tableaux ou les graphiques.,travailler (réfléchir ou écrire) sur différentes parties du document et puis de les ordonner.,"faire un ""brainstorming de groupe"" où chacun apporte ses idées.",sensible,de leur apparence.,essayer d'établir des liens entre ce sujet et des sujets connexes.,extraverti(e).,"le matériel abstrait (concepts, théories).","regarder la télévision., lire un livre.",assez utiles pour moi.,"me plaît., ne me plaît pas.",je trouve fastidieux de vérifier mon travail et je dois me forcer à le faire.,facilement et assez précisément.,penser aux étapes du processus de résolution.
26/04/2023 14:51:01,essayer,Innovant,Des mots,"Comprendre les détails d'un sujet, mais ne pas en saisir la structure générale.",y réfléchir,qui traite de faits et de situations réelles.,"des images, des diagrammes, des graphiques ou des cartes.","L'ensemble, je vois comment les parties s'emboîtent.",participer et apporter des idées.,d'apprendre des faits.,regarder attentivement les images et les tableaux.,J'arrive généralement à trouver les solutions étape par étape.,J'ai généralement appris à connaître beaucoup d'étudiants.,quelque chose qui m'apprend de nouveaux faits ou qui me dit comment faire quelque chose.,qui mettent beaucoup de diagrammes au tableau.,je pense aux incidents et j'essaie de les mettre en relation pour comprendre les thèmes.,essayer d'abord de bien comprendre le problème.,certitude,de ce que je vois.,présente la matière en étapes séquentielles claires.,dans un groupe d'étude.,attentif aux détails de mon travail.,une carte.,"à un rythme assez régulier. Si j'étudie bien, j'y arriverai.",réfléchir à la manière dont je vais m'y prendre.,disent clairement ce qu'ils veulent dire.,de l'image.,essayer de comprendre la situation dans son ensemble avant d'entrer dans les détails.,d'une chose à laquelle j'ai beaucoup réfléchi.,maîtriser une façon de faire.,les tableaux ou les graphiques.,travailler (penser à ou écrire) le début du document et progresser.,"faire un ""brainstorming de groupe"" où chacun apporte ses idées.",sensible,de leur apparence.,rester concentré sur ce sujet et en apprendre le plus possible.,extraverti(e).,"le matériel concret (faits, données).",regarder la télévision.,assez utiles pour moi.,me plaît.,je trouve fastidieux de vérifier mon travail et je dois me forcer à le faire.,facilement et assez précisément.,penser aux étapes du processus de résolution.
26/04/2023 16:02:27,y avoir réfléchi,Réaliste,Une photo,Comprendre la structure générale mais peut être flou sur les détails.,en parler,qui traite de faits et de situations réelles.,"des images, des diagrammes, des graphiques ou des cartes.","L'ensemble, je vois comment les parties s'emboîtent.",participer et apporter des idées.,d'apprendre des faits.,"regarder attentivement les images et les tableaux., me concentrer sur le texte écrit.",J'arrive généralement à trouver les solutions étape par étape.,J'ai généralement appris à connaître beaucoup d'étudiants.,quelque chose qui m'apprend de nouveaux faits ou qui me dit comment faire quelque chose.,qui passent beaucoup de temps à expliquer.,je pense aux incidents et j'essaie de les mettre en relation pour comprendre les thèmes.,commencer à travailler sur la solution immédiatement.,certitude,de ce que je vois.,présente la matière en étapes séquentielles claires.,dans un groupe d'étude.,créatif dans la façon de faire mon travail.,une carte.,"à un rythme assez régulier. Si j'étudie bien, j'y arriverai.","essayer les choses., réfléchir à la manière dont je vais m'y prendre.",disent clairement ce qu'ils veulent dire.,de l'image.,essayer de comprendre la situation dans son ensemble avant d'entrer dans les détails.,de quelque chose que j'ai fait.,"maîtriser une façon de faire., trouver de nouvelles façons de le faire.",les tableaux ou les graphiques.,travailler (penser à ou écrire) le début du document et progresser.,"faire un ""brainstorming de groupe"" où chacun apporte ses idées.",imaginatif,"de leur apparence., de ce qu'ils ont dit d'eux-mêmes.",essayer d'établir des liens entre ce sujet et des sujets connexes.,"extraverti(e)., réservé(e).","le matériel concret (faits, données).",regarder la télévision.,assez utiles pour moi.,me plaît.,je trouve fastidieux de vérifier mon travail et je dois me forcer à le faire.,facilement et assez précisément.,penser aux étapes du processus de résolution.
26/04/2023 16:03:39,essayer,Réaliste,Des mots,Comprendre la structure générale mais peut être flou sur les détails.,en parler,qui traite de faits et de situations réelles.,"des images, des diagrammes, des graphiques ou des cartes.","Toutes les parties, je comprends l'ensemble.",participer et apporter des idées.,d'apprendre des faits.,regarder attentivement les images et les tableaux.,J'arrive généralement à trouver les solutions étape par étape.,J'ai généralement appris à connaître beaucoup d'étudiants.,quelque chose qui m'apprend de nouveaux faits ou qui me dit comment faire quelque chose.,qui mettent beaucoup de diagrammes au tableau.,je pense aux incidents et j'essaie de les mettre en relation pour comprendre les thèmes.,commencer à travailler sur la solution immédiatement.,certitude,de ce que j'entends.,me donne une vue d'ensemble et relie la matière à d'autres sujets.,dans un groupe d'étude.,attentif aux détails de mon travail.,une carte.,"par à-coups. Je suis totalement désorienté, puis soudain, c'est le déclic.",essayer les choses.,disent clairement ce qu'ils veulent dire.,de ce que le professeur en a dit.,essayer de comprendre la situation dans son ensemble avant d'entrer dans les détails.,de quelque chose que j'ai fait.,maîtriser une façon de faire.,les tableaux ou les graphiques.,travailler (réfléchir ou écrire) sur différentes parties du document et puis de les ordonner.,"faire un ""brainstorming de groupe"" où chacun apporte ses idées.",sensible,de leur apparence.,rester concentré sur ce sujet et en apprendre le plus possible.,réservé(e).,"le matériel concret (faits, données).",lire un livre.,très utiles pour moi.,me plaît.,je trouve fastidieux de vérifier mon travail et je dois me forcer à le faire.,facilement et assez précisément.,penser aux étapes du processus de résolution.
26/04/2023 16:35:15,essayer,Réaliste,Des mots,"Comprendre les détails d'un sujet, mais ne pas en saisir la structure générale., Comprendre la structure générale mais peut être flou sur les détails.","en parler, y réfléchir",qui traite de faits et de situations réelles.,"des images, des diagrammes, des graphiques ou des cartes., des instructions écrites ou des informations orales.","Toutes les parties, je comprends l'ensemble.",participer et apporter des idées.,d'apprendre des concepts.,regarder attentivement les images et les tableaux.,"J'arrive généralement à trouver les solutions étape par étape., Je vois souvent les solutions, mais je dois ensuite m'efforcer de comprendre les étapes pour y parvenir.",J'ai généralement appris à connaître beaucoup d'étudiants.,"quelque chose qui m'apprend de nouveaux faits ou qui me dit comment faire quelque chose., quelque chose qui me donne de nouvelles idées pour réfléchir.",qui passent beaucoup de temps à expliquer.,"Je sais seulement quels sont les thèmes lorsque j'ai fini de lire, puis je dois revenir en arrière et trouver les incidents qui les illustrent.",commencer à travailler sur la solution immédiatement.,certitude,de ce que j'entends.,présente la matière en étapes séquentielles claires.,dans un groupe d'étude.,attentif aux détails de mon travail.,une carte.,"à un rythme assez régulier. Si j'étudie bien, j'y arriverai.",essayer les choses.,disent les choses de manière créative et intéressante.,de l'image.,essayer de comprendre la situation dans son ensemble avant d'entrer dans les détails.,de quelque chose que j'ai fait.,"maîtriser une façon de faire., trouver de nouvelles façons de le faire.",les tableaux ou les graphiques.,travailler (penser à ou écrire) le début du document et progresser.,"faire un brainstorming individuel, puis me réunir en groupe pour comparer les idées.",imaginatif,de leur apparence.,essayer d'établir des liens entre ce sujet et des sujets connexes.,extraverti(e).,"le matériel concret (faits, données).","regarder la télévision., lire un livre.",assez utiles pour moi.,ne me plaît pas.,je trouve fastidieux de vérifier mon travail et je dois me forcer à le faire.,avec difficulté et sans beaucoup de détails.,penser aux conséquences ou applications possibles de la solution dans un large éventail de domaines.
26/04/2023 16:56:49,essayer,Réaliste,Une photo,Comprendre la structure générale mais peut être flou sur les détails.,en parler,qui traite de faits et de situations réelles.,des instructions écrites ou des informations orales.,"L'ensemble, je vois comment les parties s'emboîtent.",m'asseoir et écouter,d'apprendre des faits.,regarder attentivement les images et les tableaux.,J'arrive généralement à trouver les solutions étape par étape.,J'ai rarement appris à connaître beaucoup d'étudiants.,quelque chose qui m'apprend de nouveaux faits ou qui me dit comment faire quelque chose.,qui passent beaucoup de temps à expliquer.,je pense aux incidents et j'essaie de les mettre en relation pour comprendre les thèmes.,essayer d'abord de bien comprendre le problème.,certitude,de ce que je vois.,présente la matière en étapes séquentielles claires.,seul(e).,attentif aux détails de mon travail.,une carte.,"à un rythme assez régulier. Si j'étudie bien, j'y arriverai.",essayer les choses.,disent clairement ce qu'ils veulent dire.,de ce que le professeur en a dit.,essayer de comprendre la situation dans son ensemble avant d'entrer dans les détails.,de quelque chose que j'ai fait.,maîtriser une façon de faire.,les tableaux ou les graphiques.,travailler (penser à ou écrire) le début du document et progresser.,"faire un brainstorming individuel, puis me réunir en groupe pour comparer les idées.",sensible,de ce qu'ils ont dit d'eux-mêmes.,essayer d'établir des liens entre ce sujet et des sujets connexes.,réservé(e).,"le matériel concret (faits, données).",regarder la télévision.,très utiles pour moi.,ne me plaît pas.,j'ai tendance à répéter toutes mes étapes et à vérifier soigneusement mon travail.,avec difficulté et sans beaucoup de détails.,penser aux étapes du processus de résolution.
26/04/2023 17:00:58,essayer,Innovant,Une photo,"Comprendre les détails d'un sujet, mais ne pas en saisir la structure générale.",y réfléchir,qui traite de faits et de situations réelles.,"des images, des diagrammes, des graphiques ou des cartes.","L'ensemble, je vois comment les parties s'emboîtent.",participer et apporter des idées.,d'apprendre des faits.,regarder attentivement les images et les tableaux.,J'arrive généralement à trouver les solutions étape par étape.,J'ai rarement appris à connaître beaucoup d'étudiants.,quelque chose qui me donne de nouvelles idées pour réfléchir.,qui passent beaucoup de temps à expliquer.,je pense aux incidents et j'essaie de les mettre en relation pour comprendre les thèmes.,essayer d'abord de bien comprendre le problème.,certitude,de ce que je vois.,présente la matière en étapes séquentielles claires.,seul(e).,attentif aux détails de mon travail.,des instructions écrites.,"à un rythme assez régulier. Si j'étudie bien, j'y arriverai.",essayer les choses.,disent clairement ce qu'ils veulent dire.,de l'image.,essayer de comprendre la situation dans son ensemble avant d'entrer dans les détails.,de quelque chose que j'ai fait.,maîtriser une façon de faire.,les tableaux ou les graphiques.,travailler (réfléchir ou écrire) sur différentes parties du document et puis de les ordonner.,"faire un brainstorming individuel, puis me réunir en groupe pour comparer les idées.",imaginatif,de leur apparence.,rester concentré sur ce sujet et en apprendre le plus possible.,réservé(e).,"le matériel concret (faits, données).",lire un livre.,assez utiles pour moi.,ne me plaît pas.,je trouve fastidieux de vérifier mon travail et je dois me forcer à le faire.,avec difficulté et sans beaucoup de détails.,penser aux étapes du processus de résolution.
26/04/2023 17:44:01,essayer,Innovant,Une photo,Comprendre la structure générale mais peut être flou sur les détails.,y réfléchir,qui traite d'idées et de théories.,"des images, des diagrammes, des graphiques ou des cartes.","Toutes les parties, je comprends l'ensemble.",m'asseoir et écouter,d'apprendre des concepts.,regarder attentivement les images et les tableaux.,J'arrive généralement à trouver les solutions étape par étape.,J'ai rarement appris à connaître beaucoup d'étudiants.,quelque chose qui m'apprend de nouveaux faits ou qui me dit comment faire quelque chose.,qui passent beaucoup de temps à expliquer.,je pense aux incidents et j'essaie de les mettre en relation pour comprendre les thèmes.,commencer à travailler sur la solution immédiatement.,théorie,de ce que je vois.,présente la matière en étapes séquentielles claires.,dans un groupe d'étude.,attentif aux détails de mon travail.,une carte.,"par à-coups. Je suis totalement désorienté, puis soudain, c'est le déclic.",essayer les choses.,disent clairement ce qu'ils veulent dire.,de l'image.,essayer de comprendre la situation dans son ensemble avant d'entrer dans les détails.,de quelque chose que j'ai fait.,maîtriser une façon de faire.,les tableaux ou les graphiques.,travailler (penser à ou écrire) le début du document et progresser.,"faire un ""brainstorming de groupe"" où chacun apporte ses idées.",imaginatif,de leur apparence.,essayer d'établir des liens entre ce sujet et des sujets connexes.,réservé(e).,"le matériel abstrait (concepts, théories).",regarder la télévision.,assez utiles pour moi.,ne me plaît pas.,je trouve fastidieux de vérifier mon travail et je dois me forcer à le faire.,facilement et assez précisément.,penser aux étapes du processus de résolution.
26/04/2023 17:48:42,essayer,Réaliste,Une photo,Comprendre la structure générale mais peut être flou sur les détails.,y réfléchir,qui traite de faits et de situations réelles.,"des images, des diagrammes, des graphiques ou des cartes.","L'ensemble, je vois comment les parties s'emboîtent.",m'asseoir et écouter,d'apprendre des faits.,regarder attentivement les images et les tableaux.,"Je vois souvent les solutions, mais je dois ensuite m'efforcer de comprendre les étapes pour y parvenir.",J'ai rarement appris à connaître beaucoup d'étudiants.,quelque chose qui m'apprend de nouveaux faits ou qui me dit comment faire quelque chose.,qui mettent beaucoup de diagrammes au tableau.,je pense aux incidents et j'essaie de les mettre en relation pour comprendre les thèmes.,essayer d'abord de bien comprendre le problème.,certitude,de ce que je vois.,présente la matière en étapes séquentielles claires.,seul(e).,créatif dans la façon de faire mon travail.,une carte.,"à un rythme assez régulier. Si j'étudie bien, j'y arriverai.",essayer les choses.,disent clairement ce qu'ils veulent dire.,de l'image.,essayer de comprendre la situation dans son ensemble avant d'entrer dans les détails.,de quelque chose que j'ai fait.,maîtriser une façon de faire.,les tableaux ou les graphiques.,travailler (réfléchir ou écrire) sur différentes parties du document et puis de les ordonner.,"faire un brainstorming individuel, puis me réunir en groupe pour comparer les idées.",imaginatif,de leur apparence.,rester concentré sur ce sujet et en apprendre le plus possible.,réservé(e).,"le matériel concret (faits, données).",lire un livre.,très utiles pour moi.,me plaît.,j'ai tendance à répéter toutes mes étapes et à vérifier soigneusement mon travail.,avec difficulté et sans beaucoup de détails.,penser aux conséquences ou applications possibles de la solution dans un large éventail de domaines.
